"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"5179","Tomb Joe","Apr 23, 2017","$0.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Amaterasu Software","Amaterasu Software"
"5331","CryptoMoneya","Sep 3, 2017","$0.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","azimuth team","azimuth team"
"5695","VITATIO 2","Apr 11, 2017","$0.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","ColloseusX","Phat Phrog Studios"
"5866","Cat or Bread?","May 8, 2017","$1.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Casioqu","Casioqu"
"5935","Face It - A game to fight inner demons","Jun 9, 2017","$3.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Tlön Studios, Ilex Games","Gamestorming"
"5975","Dude Simulator","Jul 13, 2017","$4.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Kiddy","Kiddy"
"6003","Cyberhunt","May 19, 2017","$0.49","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","NukGames","NukGames"
"6025","Suicide Guy","Jul 14, 2017","$5.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Fabio Ferrara","Chubby Pixel"
"6040","古剑奇谭二(GuJian2)","Sep 7, 2017","$15.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","上海烛龙信息科技有限公司, Aurogon Shanghai","北京网元圣唐娱乐科技有限公司"
"6053","Yet Another Zombie Defense HD","Aug 25, 2017","$3.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Awesome Games Studio","Awesome Games Studio"
"6054","Snake Pass","Mar 28, 2017","$19.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Sumo Digital","Secret Mode"
"6067","Rock of Ages 2: Bigger & Boulder","Aug 28, 2017","$14.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","ACE Team","SEGA"
"6069","神舞幻想 Faith of Danschant","Dec 21, 2017","$29.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","北京九鳳信息科技有限公司","北京网元圣唐娱乐科技有限公司"
"6070","Shift Happens","Feb 22, 2017","$15.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Klonk Games","Daedalic Entertainment"
"6076","Survive the Nights","Dec 21, 2017","$19.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","a2z Interactive","a2z Interactive"
"6085","Caveblazers","May 24, 2017","$9.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Deadpan Games","Yogscast Games"
"6101","Dark Elf","Aug 3, 2017","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","ONEONE1","Paradise Project"
"6112","SpellForce 3 Reforced","Dec 7, 2017","$39.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Grimlore Games","THQ Nordic"
"6114","ULTIMATE MARVEL VS. CAPCOM 3","Mar 6, 2017","$24.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","CAPCOM CO., LTD.","CAPCOM U.S.A., INC."
"6119","Dark and Light","Jul 20, 2017","$17.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Snail Games USA","Snail Games USA"
"6122","Crawl","Apr 11, 2017","$14.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Powerhoof","Powerhoof"
"6124","Comedy Night","Aug 24, 2017","$4.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Lighthouse Games Studio","Lighthouse Games Studio"
"6125","MONOPOLY PLUS","Sep 7, 2017","$14.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Ubisoft Pune","Ubisoft"
"6127","Call of Duty: Modern Warfare Remastered (2017)","Jul 27, 2017","$19.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Raven Software, Beenox","Activision"
"6130","Halo Wars: Definitive Edition","Apr 20, 2017","$4.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Ensemble Studios, Behaviour Interactive, 343 Industries","Xbox Game Studios"
"6132","LEGO Marvel Super Heroes 2","Nov 14, 2017","$19.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","TT Games, Feral Interactive (Mac)","Warner Bros. Interactive, Feral Interactive (Mac)"
"6134","Soccer Online: Ball 3D","Mar 31, 2017","$0.49","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Unusualsoft","Unusualsoft"
"6135","WRC 7 FIA World Rally Championship","Sep 15, 2017","$19.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","KT Racing","Nacon"
"6137","Ultimate Epic Battle Simulator","Apr 12, 2017","$14.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Brilliant Game Studios","Brilliant Game Studios"
"6138","BlazBlue Centralfiction","Apr 25, 2017","$9.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Arc System Works","H2 Interactive Co., Ltd."
"6139","Gold Mining Simulator","Oct 13, 2017","$19.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Code Horizon","Code Horizon, PlayWay S.A."
"6140","Superflight","Nov 8, 2017","$2.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","GrizzlyGames","GrizzlyGames"
"6141","Call of Duty: WWII","Nov 2, 2017","$19.79","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Sledgehammer Games, Raven Software","Activision"
"6142","NEKOPARA Vol. 3","May 25, 2017","$9.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","NEKO WORKs","Sekai Project"
"6143","LEGO Worlds","Mar 7, 2017","$29.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","TT Games, Traveller's Tales","Warner Bros. Interactive Entertainment"
"6145","Hello Neighbor","Dec 8, 2017","$29.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Dynamic Pixels","tinyBuild"
"6148","VTOL VR","Aug 3, 2017","$20.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Boundless Dynamics, LLC","Boundless Dynamics, LLC"
"4","Opus Magnum","Dec 7, 2017","$19.99","N/A (N/A/90%)","200,000 .. 500,000","00:00 (00:00)","Zachtronics","Zachtronics"
"9","F1 2017","Aug 24, 2017","N/A","N/A (N/A/89%)","200,000 .. 500,000","00:00 (00:00)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux), Electronic Arts"
"22","Zero Escape: The Nonary Games","Mar 24, 2017","$29.99","N/A (N/A/86%)","200,000 .. 500,000","00:00 (00:00)","Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd."
"26","Planescape: Torment: Enhanced Edition","Apr 11, 2017","$19.99","N/A (N/A/85%)","200,000 .. 500,000","00:00 (00:00)","Beamdog","Beamdog"
"27","SteamWorld Dig 2","Sep 22, 2017","$19.99","N/A (N/A/85%)","200,000 .. 500,000","00:00 (00:00)","Image & Form Games","Image & Form Games"
"32","Nex Machina","Jun 20, 2017","$19.99","N/A (N/A/84%)","200,000 .. 500,000","00:00 (00:00)","Housemarque","Housemarque"
"34","Thimbleweed Park","Mar 30, 2017","$19.99","N/A (N/A/84%)","200,000 .. 500,000","00:00 (00:00)","Terrible Toybox","Terrible Toybox"
"35","Rakuen","May 10, 2017","$14.99","N/A (N/A/84%)","200,000 .. 500,000","00:00 (00:00)","Laura Shigihara","Laura Shigihara"
"37","Gorogoa","Dec 14, 2017","$14.99","N/A (N/A/84%)","200,000 .. 500,000","00:00 (00:00)","Buried Signal","Annapurna Interactive"
"43","Subsurface Circular","Aug 17, 2017","$5.99","N/A (N/A/83%)","200,000 .. 500,000","00:00 (00:00)","Bithell Games","Bithell Games"
"44","The Legend of Heroes: Trails in the Sky the 3rd","May 3, 2017","$22.49","N/A (N/A/83%)","200,000 .. 500,000","00:00 (00:00)","Nihon Falcom","XSEED Games, Marvelous USA, Inc."
"46","Steel Division: Normandy 44","May 23, 2017","$19.99","N/A (N/A/83%)","200,000 .. 500,000","00:00 (00:00)","Eugen Systems","Paradox Interactive"
"62","PRO EVOLUTION SOCCER 2018","Sep 13, 2017","N/A","N/A (N/A/81%)","200,000 .. 500,000","00:00 (00:00)","Konami Digital Entertainment Co., Ltd.","Konami Digital Entertainment"
"63","Stories Untold","Feb 27, 2017","$9.99","N/A (N/A/81%)","200,000 .. 500,000","00:00 (00:00)","No Code","Devolver Digital"
"64","Emily is Away Too","May 26, 2017","$4.99","N/A (N/A/81%)","200,000 .. 500,000","00:00 (00:00)","Kyle Seeley","Kyle Seeley"
"77","CRYPTARK","Jun 20, 2017","$14.99","N/A (N/A/80%)","200,000 .. 500,000","00:00 (00:00)","Alientrap","Alientrap"
"80","Tooth and Tail","Sep 12, 2017","$19.99","N/A (N/A/80%)","200,000 .. 500,000","00:00 (00:00)","Pocketwatch Games","Pocketwatch Games"
"81","Hand of Fate 2","Nov 7, 2017","$29.99","N/A (N/A/80%)","200,000 .. 500,000","00:00 (00:00)","Defiant Development","Defiant Development"
"82","The Legend of Heroes: Trails of Cold Steel","Aug 2, 2017","$19.99","N/A (N/A/80%)","200,000 .. 500,000","00:00 (00:00)","Nihon Falcom","XSEED Games, Marvelous USA, Inc."
"97","Late Shift","Apr 18, 2017","$14.99","N/A (N/A/79%)","200,000 .. 500,000","00:00 (00:00)","CtrlMovie","Wales Interactive"
"98","Batman: The Enemy Within - The Telltale Series","Aug 8, 2017","$14.99","N/A (N/A/79%)","200,000 .. 500,000","00:00 (00:00)","Telltale","Telltale"
"107","Blossom Tales: The Sleeping King","Mar 28, 2017","$14.99","N/A (N/A/78%)","200,000 .. 500,000","00:00 (00:00)","Castle Pixel, LLC.","FDG Entertainment"
"109","A Mortician's Tale","Oct 18, 2017","$9.99","N/A (N/A/78%)","200,000 .. 500,000","00:00 (00:00)","Laundry Bear Games","Laundry Bear Games"
"111","Marvel's Guardians of the Galaxy: The Telltale Series","Apr 18, 2017","N/A","N/A (N/A/78%)","200,000 .. 500,000","00:00 (00:00)","Telltale Games","Telltale Games"
"113","RiME","May 26, 2017","$29.99","N/A (N/A/78%)","200,000 .. 500,000","00:00 (00:00)","Tequila Works, QLOC","Grey Box, Six Foot"
"117","Battle Chasers: Nightwar","Oct 3, 2017","$29.99","N/A (N/A/78%)","200,000 .. 500,000","00:00 (00:00)","Airship Syndicate","THQ Nordic"
"118","Ken Follett's The Pillars of the Earth","Aug 15, 2017","$1.99","N/A (N/A/78%)","200,000 .. 500,000","00:00 (00:00)","Daedalic Entertainment","Daedalic Entertainment"
"125","I Expect You To Die","Apr 25, 2017","$24.99","N/A (N/A/77%)","200,000 .. 500,000","00:00 (00:00)","Schell Games","Schell Games"
"126","Full Throttle Remastered","Apr 18, 2017","$14.99","N/A (N/A/77%)","200,000 .. 500,000","00:00 (00:00)","Double Fine Productions, Shiny Shoe","Double Fine Productions"
"127","Battlestar Galactica Deadlock","Aug 31, 2017","$39.99","N/A (N/A/77%)","200,000 .. 500,000","00:00 (00:00)","Black Lab Games","Slitherine Ltd."
"128","The Darkside Detective","Jul 27, 2017","$14.99","N/A (N/A/77%)","200,000 .. 500,000","00:00 (00:00)","Spooky Doorway","Akupara Games"
"130","Bridge Constructor Portal","Dec 20, 2017","$9.99","N/A (N/A/77%)","200,000 .. 500,000","00:00 (00:00)","ClockStone","Headup"
"143","Mushroom Wars 2","Oct 6, 2017","$14.99","N/A (N/A/76%)","200,000 .. 500,000","00:00 (00:00)","Zillion Whales","Azur Games"
"145","Tacoma","Aug 1, 2017","$19.99","N/A (N/A/76%)","200,000 .. 500,000","00:00 (00:00)","Fullbright","Fullbright"
"146","Hob","Sep 26, 2017","$19.99","N/A (N/A/76%)","200,000 .. 500,000","00:00 (00:00)","Runic Games","Arc Games"
"157","CAYNE","Jan 24, 2017","Free","N/A (N/A/75%)","200,000 .. 500,000","00:00 (00:00)","THE BROTHERHOOD","THE BROTHERHOOD"
"158","Rick and Morty: Virtual Rick-ality","Apr 20, 2017","$29.99","N/A (N/A/75%)","200,000 .. 500,000","00:00 (00:00)","Owlchemy Labs","Adult Swim Games"
"172","Mages of Mystralia","May 18, 2017","$19.99","N/A (N/A/74%)","200,000 .. 500,000","00:00 (00:00)","Borealys Games","Borealys Games"
"174","Expeditions: Viking","Apr 27, 2017","$29.99","N/A (N/A/74%)","200,000 .. 500,000","00:00 (00:00)","Logic Artists","THQ Nordic"
"175","Dead Rising 4","Mar 14, 2017","$29.99","N/A (N/A/74%)","200,000 .. 500,000","00:00 (00:00)","Capcom Game Studio Vancouver, Inc.","Capcom"
"181","Halcyon 6: Starbase Commander (LIGHTSPEED EDITION)","Aug 10, 2017","$14.99","N/A (N/A/73%)","200,000 .. 500,000","00:00 (00:00)","Massive Damage, Inc.","Massive Damage, Inc."
"184","Starpoint Gemini Warlords","May 23, 2017","$34.99","N/A (N/A/73%)","200,000 .. 500,000","00:00 (00:00)","Little Green Men Games","Little Green Men Games"
"193","Narcosis","Mar 28, 2017","$5.09","N/A (N/A/72%)","200,000 .. 500,000","00:00 (00:00)","Honor Code, Inc.","Honor Code, Inc."
"195","Black The Fall","Jul 11, 2017","$14.99","N/A (N/A/72%)","200,000 .. 500,000","00:00 (00:00)","Sand Sailor Studio","Square Enix"
"211","Pinstripe","Apr 24, 2017","$14.99","N/A (N/A/71%)","200,000 .. 500,000","00:00 (00:00)","Atmos Games","Armor Games Studios"
"215","Beat Cop","Mar 30, 2017","$14.99","N/A (N/A/71%)","200,000 .. 500,000","00:00 (00:00)","Pixel Crow","11 bit studios"
"216","SENRAN KAGURA ESTIVAL VERSUS","Mar 17, 2017","$29.99","N/A (N/A/71%)","200,000 .. 500,000","00:00 (00:00)","Tamsoft","XSEED Games, Marvelous USA, Inc., Marvelous"
"223","Yonder: The Cloud Catcher Chronicles","Jul 18, 2017","$24.99","N/A (N/A/70%)","200,000 .. 500,000","00:00 (00:00)","Prideful Sloth","Prideful Sloth"
"225","Sudden Strike 4","Aug 11, 2017","$19.99","N/A (N/A/70%)","200,000 .. 500,000","00:00 (00:00)","Kite Games","Kalypso Media"
"231","The Shrouded Isle","Aug 4, 2017","$12.99","N/A (N/A/69%)","200,000 .. 500,000","00:00 (00:00)","Jongwoo Kim, Erica Lahaie, FX Bilodeau, Tanya Short","Kitfox Games"
"233","DOOM VFR","Nov 30, 2017","$14.99","N/A (N/A/69%)","200,000 .. 500,000","00:00 (00:00)","id Software","Bethesda Softworks"
"235",".hack//G.U. Last Recode","Nov 3, 2017","$4.99","N/A (N/A/69%)","200,000 .. 500,000","00:00 (00:00)","CyberConnect2","Bandai Namco Entertainment"
"244","2Dark","Mar 10, 2017","$24.99","N/A (N/A/68%)","200,000 .. 500,000","00:00 (00:00)","Gloomywood","Nacon"
"246","Agents of Mayhem","Aug 15, 2017","$2.99","N/A (N/A/68%)","200,000 .. 500,000","00:00 (00:00)","Deep Silver Volition","Deep Silver"
"247","Blitzkrieg 3","Jun 2, 2017","$9.99","N/A (N/A/68%)","200,000 .. 500,000","00:00 (00:00)","Nival","Nival"
"252","NBA Playgrounds","May 8, 2017","N/A","N/A (N/A/67%)","200,000 .. 500,000","00:00 (00:00)","Saber Interactive","Mad Dog Games, LLC"
"254","Scanner Sombre","Apr 26, 2017","$5.99","N/A (N/A/67%)","200,000 .. 500,000","00:00 (00:00)","Introversion Software","Introversion Software"
"261","Bounty Train","May 16, 2017","$9.99","N/A (N/A/66%)","200,000 .. 500,000","00:00 (00:00)","Corbie Games","Daedalic Entertainment"
"262","Among the Sleep - Enhanced Edition","Nov 2, 2017","$16.99","N/A (N/A/66%)","200,000 .. 500,000","00:00 (00:00)","Krillbite Studio","Krillbite Studio"
"276","WWE 2K18","Oct 17, 2017","N/A","N/A (N/A/64%)","200,000 .. 500,000","00:00 (00:00)","Visual Concepts, Yuke's Co., LTD","2K"
"277","Redeemer: Enhanced Edition","Aug 1, 2017","$9.99","N/A (N/A/64%)","200,000 .. 500,000","00:00 (00:00)","Sobaka Studio","ESDigital Games"
"286","Urban Empire","Jan 20, 2017","$29.99","N/A (N/A/62%)","200,000 .. 500,000","00:00 (00:00)","Reborn Games","Kalypso Media Digital"
"288","Cook, Serve, Delicious! 2!!","Sep 13, 2017","$12.99","N/A (N/A/62%)","200,000 .. 500,000","00:00 (00:00)","Vertigo Gaming Inc.","Vertigo Gaming Inc."
"292","WWE 2K17","Feb 7, 2017","N/A","N/A (N/A/61%)","200,000 .. 500,000","00:00 (00:00)","Visual Concepts, Yuke's Co., LTD","2K"
"312","RAID: World War II","Sep 26, 2017","$9.99","N/A (N/A/53%)","200,000 .. 500,000","00:00 (00:00)","Lion game Lion","Starbreeze Entertainment"
"315","FlatOut 4: Total Insanity","Apr 4, 2017","$29.99","N/A (N/A/52%)","200,000 .. 500,000","00:00 (00:00)","Kylotonn","Strategy First"
"324","Inner Chains","May 18, 2017","$2.39","N/A (N/A/40%)","200,000 .. 500,000","00:00 (00:00)","Telepaths Tree","IMGN.PRO"
"891","Cabals: Card Blitz","Feb 8, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Kyy Games","BISBOG SA"
"910","A Wonder","Nov 10, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Class of 2016-2017","Campus ADN"
"977","Splat the Blob","Oct 5, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Simple Blue","Simple Blue"
"1089","iVRy Driver for SteamVR","Mar 1, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Mediator Software","Mediator Software"
"1090","Hide vs. Seek","Aug 7, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Brave Little Studios","Brave Little Studios"
"1115","The Ranger: Lost Tribe","Aug 2, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Leiting Interactive","Leiting Interactive"
"1116","Soccer Manager 2018","Dec 22, 2017","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Soccer Manager Ltd","Soccer Manager Ltd"
"1118","La Tale - Evolved","Nov 17, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Actoz Soft","Papaya Play"
"1125","Games of Glory","Apr 25, 2017","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Lightbulb Crew","Lightbulb Crew"
"1126","Dragon's Sin","Dec 21, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Fate Dragon Studio","Fate Dragon Studio"
"1128","Heroes Evolved","Jan 2017","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Net Dragon","R2Games"
"1130","Transport Defender","Sep 11, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Coconut Shavers","Coconut Shavers"
"1137","Skara - The Blade Remains","Feb 3, 2017","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Atomic Kraken","Atomic Kraken"
"1139","Revelation Online","Feb 27, 2017","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","NetEase Games","MY.GAMES"
"1146","Demise of Nations","Aug 8, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Noble Master LLC","Noble Master LLC"
"1147","The Ultimatest Battle","Sep 12, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Ediogames","Ediogames"
"1149","Battle Islands: Commanders","Feb 14, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","DR Studios","505 Games"
"1153","Stash","Sep 7, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Frogdice","Frogdice"
"1161","龙魂时刻","Jun 27, 2017","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","","Jenny Bee Presents"
"1164","Crown and Council","Jan 27, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Mojang","Mojang"
"1173","Brawl of Ages","Sep 12, 2017","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","BNA Studios, LLC","S2 Games, LLC"
"1175","Doodle God Blitz","Sep 1, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","JoyBits Ltd.","JoyBits Ltd."
"1177","War Planet Online: Global Conquest","Dec 19, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Gameloft","Gameloft"
"1183","Twin Saga","Apr 12, 2017","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","X-Legend","Aeria Games"
"1185","War Robots VR: The Skirmish","Aug 10, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Pixonic","Pixonic"
"1189","Strike Vector EX","Jul 19, 2017","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Ragequit Corporation","Ragequit Corporation"
"1191","Warfare Online","May 8, 2017","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Con Artist Games","Con Artist Games"
"1192","Just Fishing","Dec 15, 2017","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Just Fishing LLC","Just Fishing LLC"
"1193","Grimoire: Manastorm","Oct 26, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Omniconnection","Omniconnection"
"1198","KROSMAGA","Apr 12, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Ankama Studio","Ankama Games"
"1199","Granado Espada","Oct 15, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","IMCGAMES Co.,Ltd.","IMCGAMES Co.,Ltd."
"1202","Trophy Fishing 2","Jul 13, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Overgroup","Overgroup"
"1204","METRO CONFLICT: THE ORIGIN","Nov 8, 2017","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","RED DUCK, INC.","RED DUCK, INC."
"1205","Kreedz Climbing","Jun 15, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","ObsessionSoft","ObsessionSoft"
"1208","Einar","Jul 20, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","DreamPunks","DreamPunks"
"1209","Shardbound","Apr 6, 2017","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Bazooka Tango","Bazooka Tango"
"1210","March of Empires","Dec 11, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Gameloft","Gameloft"
"1211","Wild Terra Online","Dec 18, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Juvty Worlds","Juvty Worlds"
"1212","Guild Quest","Jan 26, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Hyper Hippo Games","Hyper Hippo Games"
"1213","Galactic Junk League","Jul 26, 2017","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Pixel Federation","Pixel Federation"
"1214","Metal Waltz: Anime tank girls","Apr 19, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","WuL Game Studio","WuL Game Studio"
"1216","Holyday City: Reloaded","Dec 14, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Holyday Studios","Holyday Studios"
"1220","Mighty Party","Mar 30, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Panoramik Games LTD","Panoramik Games LTD"
